Price,ZAR
Ticker,USDZAR=X
Date,
2012-03-06,7.547699928283691
2012-03-07,7.646100044250488
2012-03-08,7.591800212860107
2012-03-09,7.478899955749512
2012-03-12,7.564799785614014
2012-03-13,7.541999816894531
2012-03-14,7.529200077056885
2012-03-15,7.689680099487305
2012-03-16,7.6020002365112305
2012-03-19,7.561800003051758
2012-03-20,7.5295000076293945
2012-03-21,7.603499889373779
2012-03-22,7.643799781799316
2012-03-23,7.698200225830078
2012-03-26,7.684899806976318
2012-03-27,7.581399917602539
2012-03-28,7.598899841308594
2012-03-29,7.67110013961792
2012-03-30,7.710000038146973
2012-04-02,7.622900009155273
2012-04-03,7.642000198364258
2012-04-04,7.73721981048584
2012-04-05,7.820499897003174
2012-04-06,7.826399803161621
2012-04-09,7.883800029754639
2012-04-10,7.879700183868408
2012-04-11,7.9847002029418945
2012-04-12,7.978000164031982
2012-04-13,7.868500232696533
2012-04-16,7.9446001052856445
2012-04-17,7.938700199127197
2012-04-18,7.796999931335449
2012-04-19,7.836400032043457
2012-04-20,7.844299793243408
2012-04-23,7.8017802238464355
2012-04-24,7.839600086212158
2012-04-25,7.787099838256836
2012-04-26,7.736800193786621
2012-04-27,7.774199962615967
2012-04-30,7.744500160217285
2012-05-01,7.764999866485596
2012-05-02,7.7291998863220215
2012-05-03,7.730500221252441
2012-05-04,7.7256999015808105
2012-05-07,7.881100177764893
2012-05-08,7.798999786376953
2012-05-09,7.892000198364258
2012-05-10,7.991499900817871
2012-05-11,8.028200149536133
2012-05-14,8.104999542236328
2012-05-15,8.195500373840332
2012-05-16,8.327799797058105
2012-05-17,8.306500434875488
2012-05-18,8.364100456237793
2012-05-21,8.322999954223633
2012-05-22,8.218700408935547
2012-05-23,8.338899612426758
2012-05-24,8.392499923706055
2012-05-25,8.35990047454834
2012-05-28,8.356900215148926
2012-05-29,8.339099884033203
2012-05-30,8.303400039672852
2012-05-31,8.532500267028809
2012-06-01,8.499300003051758
2012-06-04,8.5871000289917
2012-06-05,8.476300239562988
2012-06-06,8.414799690246582
2012-06-07,8.301899909973145
2012-06-08,8.373600006103516
2012-06-11,8.305999755859375
2012-06-12,8.467100143432617
2012-06-13,8.387100219726562
2012-06-14,8.385000228881836
2012-06-15,8.365099906921387
2012-06-18,8.26669979095459
2012-06-19,8.296299934387207
2012-06-20,8.194000244140625
2012-06-21,8.190600395202637
2012-06-22,8.373200416564941
2012-06-25,8.40884017944336
2012-06-26,8.465299606323242
2012-06-27,8.427499771118164
2012-06-28,8.430000305175781
2012-06-29,8.3927001953125
2012-07-02,8.148599624633789
2012-07-03,8.161199569702148
2012-07-04,8.06719970703125
2012-07-05,8.130200386047363
2012-07-06,8.131699562072754
2012-07-09,8.253199577331543
2012-07-10,8.223999977111816
2012-07-11,8.21030044555664
2012-07-12,8.230299949645996
2012-07-13,8.333499908447266
2012-07-16,8.252900123596191
2012-07-17,8.208600044250488
2012-07-18,8.162199974060059
2012-07-19,8.154999732971191
2012-07-20,8.170299530029297
2012-07-23,8.286299705505371
2012-07-24,8.454000473022461
